City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
155,caleta de carquin,-11.0925,-77.6267,22.18,85,95,4.23,PE,1712791192
156,darwin,-12.4611,130.8418,24.41,64,0,4.63,AU,1712790842
157,albany,42.6001,-73.9662,12.07,90,100,1.34,US,1712791015
158,singera,46.9131,28.9775,11.39,76,0,1.54,MD,1712791192
159,businga,3.3333,20.8833,23.9,82,82,1.31,CD,1712791192
160,diok'nisi,41.6293,42.3917,9.31,98,100,0.85,GE,1712791192
161,negreira,42.904,-8.7427,12.29,81,99,1.63,ES,1712791192
162,quila,24.4228,-107.22,29.92,17,36,5.04,MX,1712791192
163,puerto natales,-51.7236,-72.4875,3.64,90,14,2.55,CL,1712790978
164,keflavik,64.0049,-22.5624,4.95,75,100,6.17,IS,1712791192
165,fale old settlement,-9.3852,-171.2468,30.06,75,59,4.67,TK,1712791080
166,nogent-le-rotrou,48.3333,1.0,10.36,90,99,3.86,FR,1712791192
167,inarajan village,13.2736,144.7484,29.08,84,93,8.14,GU,1712791017
168,ancud,-41.8697,-73.8203,10.19,72,1,1.77,CL,1712791193
169,pauini,-7.7136,-66.9764,23.89,97,90,0.93,BR,1712791193
170,santa cruz,-17.8,-63.1667,27.03,78,75,5.14,BO,1712791193
171,rio grande,-32.035,-52.0986,20.06,77,100,8.85,BR,1712790954
172,bredasdorp,-34.5322,20.0403,14.82,66,33,6.37,ZA,1712791012
173,eyl,7.9803,49.8164,27.19,72,60,3.63,SO,1712791193
174,papao,-17.75,-149.55,30.82,83,98,9.17,PF,1712791058
175,auki,-8.7676,160.7034,30.49,67,100,0.65,SB,1712791193
176,labytnangi,66.6572,66.4183,-28.68,100,82,0.82,RU,1712791132
177,kupang,-10.1667,123.5833,27.32,89,20,1.03,ID,1712791193
178,diamantino,-14.4086,-56.4461,23.95,93,98,1.6,BR,1712791193
179,colesberg,-30.72,25.0972,9.96,78,0,7.35,ZA,1712791194
180,trinidad,-14.8333,-64.9,27.99,83,75,2.06,BO,1712791078
181,acarau,-2.8856,-40.12,26.62,84,100,3.57,BR,1712791194
182,dashitou,43.3067,128.5114,7.56,83,100,4.7,CN,1712791194
183,portland,45.5234,-122.6762,20.11,41,75,2.57,US,1712791017
184,port elizabeth,-33.918,25.5701,14.62,80,94,1.34,ZA,1712791017
185,howrah,22.5892,88.3103,25.0,83,40,0.0,IN,1712791194
186,broome,42.2506,-75.833,15.5,95,100,1.54,US,1712791194
187,beska,45.1297,20.0661,12.86,78,100,1.79,RS,1712791194
188,santa vitoria do palmar,-33.5189,-53.3681,17.39,61,100,5.41,BR,1712790975
189,belyy yar,53.6039,91.3903,2.94,93,0,4.0,RU,1712791194
190,kumertau,52.7667,55.7833,3.36,98,76,2.23,RU,1712791194
191,swift current,50.2834,-107.8014,11.45,24,75,11.83,CA,1712791195
192,raigarh,21.9,83.4,27.51,40,75,1.54,IN,1712790983
193,freeport,40.6576,-73.5832,15.82,86,100,4.47,US,1712791027
194,isafjordur,66.0755,-23.124,-4.3,88,39,2.26,IS,1712791177
195,beau vallon,-20.4189,57.6953,26.13,83,75,2.06,MU,1712791195
196,mugia,43.1041,-9.2179,12.73,71,100,5.09,ES,1712791195
197,kavieng,-2.5744,150.7967,27.34,82,100,4.65,PG,1712791008
198,boa vista,2.8197,-60.6733,32.99,43,20,5.14,BR,1712790935
199,koulikoro,14.0,-7.75,31.51,27,56,0.77,ML,1712791195
200,vuktyl,63.8567,57.3094,-7.16,97,83,1.79,RU,1712791195
201,nizao,18.25,-70.2,29.15,70,7,7.02,DO,1712790976
202,belmonte,-15.8631,-38.8828,25.87,85,12,2.36,BR,1712791195
203,kendari,-3.945,122.4989,24.61,93,97,0.76,ID,1712791196
204,tofol,5.3248,163.0078,28.88,84,100,5.14,FM,1712791196
205,kolonia,50.9333,6.95,10.46,72,0,1.54,DE,1712791196
206,jumla,29.2747,82.1838,3.29,47,0,2.37,NP,1712791196
207,ta`u,-14.2336,-169.5144,29.24,76,8,3.63,AS,1712791165
208,flying fish cove,-10.4217,105.6791,25.82,83,40,2.57,CX,1712791018
209,figuig (centre),32.1089,-1.2286,17.67,13,41,1.55,MA,1712791196
210,georgetown,5.4112,100.3354,27.19,89,20,1.54,MY,1712791014
211,meadow lakes,61.6247,-149.6011,5.53,71,0,3.6,US,1712791196
212,fort mcmurray,56.7268,-111.381,10.77,50,75,4.63,CA,1712791148
213,qaqortoq,60.7167,-46.0333,-5.02,98,82,1.5,GL,1712791032
214,rajpipla,21.8667,73.5,28.37,49,100,2.76,IN,1712791197
215,westport,41.1415,-73.3579,16.9,84,100,6.69,US,1712791197
216,kenai,60.5544,-151.2583,3.05,64,0,3.6,US,1712791071
217,uturoa,-16.7333,-151.4333,29.02,78,21,8.3,PF,1712791193
218,vilyuchinsk,52.9306,158.4028,5.15,72,80,15.46,RU,1712791197
219,timimoun,29.2639,0.231,22.21,11,0,4.12,DZ,1712791197
220,luderitz,-26.6481,15.1594,19.93,56,0,5.56,NA,1712791197
221,sherwood,34.8151,-92.2243,18.97,89,100,9.39,US,1712791037
222,kolwezi,-10.7148,25.4667,17.24,98,99,1.48,CD,1712791197
223,maryport,54.7143,-3.4951,11.73,99,100,4.92,GB,1712791198
224,fortaleza,-3.7227,-38.5247,28.07,78,20,0.51,BR,1712790901
225,arkadak,51.9326,43.4978,12.35,92,1,3.12,RU,1712791198
226,kansanshi,-12.0951,26.4273,17.77,96,100,1.27,ZM,1712791198
227,palmas,-10.2128,-48.3603,27.93,83,20,2.57,BR,1712791025
228,hilo,19.7297,-155.09,27.38,68,100,4.12,US,1712790902
229,bel ombre,-4.6167,55.4167,25.91,94,75,2.57,SC,1712791198
230,gadzhiyevo,69.2551,33.3362,3.32,93,100,9.86,RU,1712791049
231,saudarkrokur,65.7461,-19.6394,-2.57,83,100,1.22,IS,1712791198
232,saint-pierre,-21.3393,55.4781,23.82,73,0,3.09,RE,1712791104
233,tura,25.5198,90.2201,21.99,36,54,1.49,IN,1712791020
234,sao paulo de olivenca,-3.3783,-68.8725,24.72,97,100,1.19,BR,1712791198
235,midvagur,62.0511,-7.1939,6.46,87,100,12.35,FO,1712791020
236,campo formoso,-10.5075,-40.3214,23.1,79,25,2.36,BR,1712791199
237,aral,40.5156,81.2636,14.98,92,6,3.62,CN,1712791199
238,verkh-chebula,56.0308,87.6218,-3.24,82,93,2.88,RU,1712791199
239,archangelos,36.2149,28.1149,16.99,78,0,1.43,GR,1712791096
240,port mathurin,-19.6833,63.4167,26.61,80,31,5.67,MU,1712791013
241,tabas,33.5959,56.9244,25.52,18,98,2.1,IR,1712791199
242,nadi,-17.8,177.4167,30.0,66,20,5.14,FJ,1712791070
243,howard springs,-12.497,131.047,24.9,64,100,3.13,AU,1712791199
244,lucheng,31.2336,117.2806,15.19,87,100,1.8,CN,1712791199
245,richards bay,-28.783,32.0377,19.93,81,65,9.13,ZA,1712791199
246,sanctuary point,-35.1114,150.629,20.42,59,3,3.73,AU,1712791199
247,saladas,-28.2538,-58.6259,19.49,96,100,6.46,AR,1712791200
248,aswan,24.0934,32.907,21.74,28,34,5.58,EG,1712791200
249,hamburg,53.55,10.0,8.67,83,0,3.6,DE,1712791038
250,palikir - national government center,6.9248,158.1611,27.47,94,100,5.14,FM,1712791200
251,lautoka,-17.6167,177.4667,29.92,66,20,5.14,FJ,1712791200
252,nikolayevsk-on-amure,53.1406,140.73,4.98,64,58,1.53,RU,1712791200
253,alofi,-19.0595,-169.9187,28.94,74,75,7.2,NU,1712791023
254,agde,43.3108,3.4758,13.02,44,0,6.17,FR,1712791200
255,palasa,18.7667,84.4167,25.28,65,4,2.07,IN,1712791200
256,punxsutawney,40.9437,-78.9709,18.12,84,94,0.45,US,1712791200
257,novofedorivka,46.1713,32.3178,13.41,57,0,1.61,UA,1712791200
258,broken hill,-31.95,141.4333,13.25,69,0,5.68,AU,1712790974
259,zhuanghe,39.7008,122.9911,8.52,85,76,3.3,CN,1712791201
260,holualoa,19.6228,-155.9522,24.91,80,40,5.14,US,1712791201
261,chikwawa,-16.0335,34.8009,26.45,73,69,0.82,MW,1712791201
262,puerto aysen,-45.4,-72.7,5.6,96,0,1.17,CL,1712791201
263,mitsamiouli,-11.3847,43.2844,28.68,80,86,3.91,KM,1712791201
264,maintirano,-18.0667,44.0167,27.34,73,100,2.26,MG,1712791202
265,mossel bay,-34.1831,22.146,14.96,74,100,3.91,ZA,1712791202
266,heniches'k,46.1759,34.8034,13.03,57,2,4.8,UA,1712791202
267,chonchi,-42.6128,-73.8092,10.56,78,0,0.7,CL,1712790990
268,kirakira,-10.4544,161.9205,30.1,61,83,2.45,SB,1712791202
269,slave lake,55.2834,-114.769,5.99,52,0,2.06,CA,1712791144
270,honolulu,21.3069,-157.8583,27.9,64,40,6.71,US,1712790604
271,ingeniero jacobacci,-41.3427,-69.5448,10.0,25,40,6.55,AR,1712791203
272,lihue,21.9789,-159.3672,28.58,62,0,3.6,US,1712790957
273,port sudan,19.6175,37.2164,24.15,62,8,4.31,SD,1712791203
274,mabaruma,8.2,-59.7833,25.85,78,7,1.87,GY,1712791203
275,concepcion,-36.827,-73.0498,11.38,76,81,1.06,CL,1712791035
276,arraial do cabo,-22.9661,-42.0278,25.4,87,0,4.41,BR,1712790953
277,mount isa,-20.7333,139.5,19.87,34,45,3.6,AU,1712791052
278,copala,16.65,-98.9833,27.97,63,67,4.72,MX,1712791203
279,fortuna,40.5982,-124.1573,16.63,79,0,7.2,US,1712791204
280,almenara,-16.1836,-40.6944,23.97,94,63,1.41,BR,1712791011
281,la passe,45.5549,-0.8967,12.21,81,97,2.01,FR,1712791140
282,agryz,56.5203,52.9942,1.67,92,61,0.78,RU,1712791204
283,tieli,46.95,128.05,8.5,51,60,4.47,CN,1712791075
284,tsetserleg,47.475,101.4542,2.71,79,96,2.12,MN,1712791204
285,tazacorte,28.629,-17.9293,19.54,77,100,6.69,ES,1712791204
286,bodo,67.28,14.405,5.02,94,75,12.86,NO,1712790970
287,manokwari,-0.8667,134.0833,26.15,83,100,2.58,ID,1712791204
288,citrus springs,28.9975,-82.4707,27.97,75,100,0.0,US,1712791205
289,rurrenabaque,-14.4413,-67.5278,27.49,76,77,1.36,BO,1712791205
290,codrington,-38.2667,141.9667,14.39,69,89,4.82,AU,1712791010
291,ribeira brava,32.65,-17.0667,20.35,24,35,3.9,PT,1712791205
292,dobresti,46.85,22.3,13.21,91,89,1.82,RO,1712791205
293,malanje,-9.5402,16.341,18.88,97,41,1.26,AO,1712791205
294,along,28.1667,94.7667,12.7,86,0,0.32,IN,1712791205
295,tazovsky,67.4667,78.7,-31.59,100,59,2.63,RU,1712791205
296,kirensk,57.7853,108.1119,2.76,98,100,3.58,RU,1712791205
297,laibin,23.7,109.2667,20.79,98,100,1.03,CN,1712791205
298,okha,53.5739,142.9478,1.2,73,13,2.09,RU,1712791205
299,atvidaberg,58.2015,15.9977,6.33,63,69,5.53,SE,1712791206
300,tham phannara,8.4204,99.3952,24.49,84,100,1.21,TH,1712791206
301,ust-nera,64.5667,143.2,-10.25,92,84,3.2,RU,1712791006
302,tyukhtet,56.5389,89.3011,-6.05,89,78,1.84,RU,1712791206
303,saint-paul,-21.0096,55.2707,24.06,74,68,2.11,RE,1712791206
304,la'ie,21.6477,-157.9253,28.98,72,43,3.13,US,1712791206
305,karonga,-9.9333,33.9333,23.59,85,84,1.43,MW,1712791206
306,champerico,14.3,-91.9167,34.3,63,98,3.38,GT,1712791206
307,qarqaraly,49.4058,75.4742,2.36,95,100,5.23,KZ,1712791077
308,inirida,3.8653,-67.9239,29.87,62,62,1.23,CO,1712791206
309,yeniseysk,58.4497,92.1703,-9.47,85,60,3.13,RU,1712791053
310,burumburum,11.3911,8.7234,28.0,21,44,2.77,NG,1712791207
311,wanxian,30.8039,108.3897,15.75,95,98,1.27,CN,1712791207
312,mil'kovo,55.6078,37.7956,15.19,91,38,3.24,RU,1712791207
313,berbera,10.4396,45.0143,27.71,79,29,1.21,SO,1712791207
314,vadso,70.0744,29.7487,4.09,87,100,3.09,NO,1712791017
315,hithadhoo,-0.6,73.0833,29.44,73,83,3.5,MV,1712791007
316,sao mateus,-18.7161,-39.8589,24.29,87,5,1.52,BR,1712791207
317,bibir hat,22.6873,91.7853,26.95,28,14,1.97,BD,1712791207
318,janze,47.9591,-1.4983,11.9,91,100,3.84,FR,1712791207
319,an nuhud,12.7,28.4333,24.49,9,2,6.37,SD,1712791207
320,sampit,-2.5333,112.95,23.66,99,98,0.64,ID,1712791166
321,kristiansund,63.1115,7.732,5.36,75,75,5.14,NO,1712791025
322,badger,64.8,-147.5333,7.14,41,20,2.57,US,1712791023
323,khanty-mansiysk,61.0042,69.0019,-9.94,57,0,3.0,RU,1712791208
324,castillos,-34.1667,-53.8333,14.62,61,74,5.21,UY,1712791208
325,katsuren-haebaru,26.3369,127.8719,22.43,77,20,5.66,JP,1712790941
326,stung treng,13.5259,105.9683,22.88,65,4,1.02,KH,1712791208
327,es castell,39.8795,4.2854,15.38,51,20,6.69,ES,1712791208
328,zhalantun,48.0,122.7167,7.7,44,34,0.81,CN,1712791208
329,xai-xai,-25.0519,33.6442,22.98,74,90,6.63,MZ,1712791208
330,daru,-9.0763,143.2092,27.74,85,88,2.91,PG,1712791209
331,taoudenni,22.6783,-3.9836,32.34,11,0,4.95,ML,1712791209
332,harper,4.375,-7.7169,27.84,79,85,3.22,LR,1712791209
333,coquimbo,-29.9533,-71.3436,13.85,100,100,3.09,CL,1712791114
334,salekhard,66.53,66.6019,-28.67,100,83,0.89,RU,1712791059
335,elko,41.0002,-115.5012,17.58,27,22,4.47,US,1712790932
336,yung shue wan,22.2333,114.1167,23.75,81,68,1.34,HK,1712791209
337,polyarnyy,69.1989,33.4478,3.19,92,100,10.16,RU,1712791209
338,tabou,4.423,-7.3528,27.83,79,84,2.96,CI,1712791209
339,susuman,62.7833,148.1667,-15.57,93,88,0.89,RU,1712791209
340,palma sola,-23.9634,-64.2987,20.44,85,98,2.83,AR,1712791210
341,kisangani,0.5167,25.2,21.7,98,82,1.55,CD,1712791136
342,tonekabon,36.8163,50.8738,14.23,95,100,1.26,IR,1712791210
343,nykobing sjaelland,55.9249,11.6711,7.19,84,95,7.55,DK,1712791210
344,richmond,37.5538,-77.4603,21.69,77,100,7.2,US,1712791186
345,igarka,67.4667,86.5833,-29.99,98,27,3.58,RU,1712791210
346,bulayevo,54.9056,70.4439,-2.12,96,79,3.11,KZ,1712791210
347,alice springs,-23.7,133.8833,16.23,41,10,2.68,AU,1712791014
348,gizo,-8.103,156.8419,28.45,76,99,2.3,SB,1712791027
349,saint-joseph,-21.3667,55.6167,23.21,75,74,2.05,RE,1712791211
350,ha'il,27.5219,41.6907,17.01,34,0,1.03,SA,1712791211
351,crane,31.3974,-102.3501,22.09,16,0,8.32,US,1712791028
352,childress,34.4264,-100.204,22.14,26,0,7.2,US,1712790966
353,adam,22.3756,57.5233,27.9,43,88,4.66,OM,1712791211
354,ulenje,-8.9333,33.6833,14.49,94,75,1.19,TZ,1712791211
355,santiago do cacem,38.0169,-8.6948,16.13,65,72,2.61,PT,1712791211
356,kone,-21.0595,164.8658,24.84,95,99,1.75,NC,1712791211
357,aykhal,66.0,111.5,-25.84,98,74,7.82,RU,1712791211
358,nikfer,37.4054,29.1373,12.39,60,0,1.65,TR,1712791211
359,kirov,58.5966,49.6601,0.88,93,29,2.24,RU,1712791142
360,port-vila,-17.7338,168.3219,30.78,66,20,2.06,VU,1712791212
361,berezovo,63.9381,65.0419,-24.04,100,53,1.74,RU,1712791212
362,sept-iles,50.2001,-66.3821,1.24,79,20,3.09,CA,1712791204
363,vorkuta,67.5,64.0,-24.7,100,100,1.95,RU,1712791212
